Count,Label,Sentence
1,a,"1 cm of apical opacity, scarring versus nodule"
1,a,"1.There is a left basilar airspace opacity, which is concerning for pneumonia"
1,a,"2.1 cm nodular density in the anterior costophrenic XXXX on the lateral view, which could represent overlapping shadows or actual pulmonary nodule"
1,a,7 mm nodular opacity overlying the left lung most XXXX represents patients nipple recommend nipple XXXX films as it may represent a lung nodule as well
1,a,"A XXXX density is demonstrated on the frontal view with exaggerated posterior projection of the cardiac silhouette, suggesting left atrial enlargement"
1,a,A dense nodule in the right base suggest a previous granulomatous process
1,a,A dense nodule in the right base suggests a previous granulomatous process
1,a,A few XXXX opacities are present consistent with XXXX XXXX of scarring or atelectasis
1,a,"A few XXXX opacities are present in the left base, the appearance which XXXX scarring or atelectasis"
1,a,A few bandlike opacities are present on the lateral view which appear to represent small areas of scarring
1,a,"A lobulated opacity is identified superior to the heart, in the anterior mediastinum on the lateral view, possibly consistent with a tortuousectatic thoracic aorta versus an anterior mediastinal mass"
1,a,A low KV film XXXX demonstrate these are probably calcified
1,a,A pneumonia superimposed on changes of emphysema and parenchymal scarring would be a consideration
1,a,A small pleural or collection is XXXX present in the right apex
1,a,A small right-sided pleural effusion versus thickening
1,a,A subtle infiltrate cannot be excluded
1,a,A there are calcified mediastinal and hilar lymph XXXX suggesting prior histoplasmosis infection
1,a,A vague lucency is present in left rib 7 anteriorly
1,a,Abnormal configuration of the heart and mediastinum suggestive of right aortic XXXX versus dextrocardia
1,a,"Abnormal interstitial pattern, nonspecific in appearance with XXXX differential diagnosis including chronic interstitial lung disease, infectious, inflammatory process, atypical pulmonary edema"
1,a,"Abnormal interstitial pulmonary pattern, nonspecific in appearance with XXXX differential diagnosis including chronic lung disease, interstitial infiltrates, pulmonary edema"
1,a,"Abnormal opacity in the right base XXXX due at XXXX in part to atelectasis with right hemidiaphragm eventration, question small right pleural effusion"
1,a,Abnormal opacity in the right lung base which may be compatible with pneumonia in the appropriate clinical setting
1,a,"Abnormal pulmonary opacities most suggestive of pulmonary edema, differential diagnosis includes infection and aspiration, clinical correlation recommended"
1,a,"Abnormal pulmonary opacities most suggestive of pulmonary edema, differential diagnosis includes infectious and inflammatory processes"
1,a,"Abnormal pulmonary opacities most suggestive of pulmonary edema, primary differential diagnosis atypical infection and inflammation"
1,a,"Abnormal pulmonary opacities most suggestive of pulmonary edema, primary differential diagnosis includes infection and aspiration, clinical correlation recommended"
1,a,"Abnormal pulmonary opacities which may be due to atelectasis, differential diagnosis includes infection, aspiration, atypical distribution pulmonary edema"
1,a,"Acute obliquely oriented lucency through the right 12th posterior rib, concerning for acute fracture"
1,a,Additional fractures cannot entirely be excluded
1,a,"Again noted and is blunting of the right pleural space, XXXX a XXXX effusion or scarring"
1,a,Again noted is XXXX and left midlung airspace opacity XXXX atelectasis
1,a,Again observed is a curvilinear density in the right midlung zone which may represent some pulmonary scarring or thickening of the right XXXX fissure
1,a,Again seen are platelike horizontal opacities in both lung bases through this is consistent with scarring or subsegmental atelectasis
1,a,Again seen is XXXX paraspinal foreign body which may represent a bullet fragment
1,a,Again seen is a left basilar opacity compatible with some effusion and adjacent left basilar atelectasis
1,a,Air space disease andor atelectasis is noted in right lung base
1,a,Air-fluid level is present behind the heart which probably represents a hiatal hernia
1,a,"Although the heart is not enlarged, this is concerning for concern for pulmonary arterial hypertension"
1,a,"Although this could be scar, concern is for nodule, and further evaluation XXXX chest is recommended"
1,a,"Although this could represent air-fluid within a XXXX of bowel, a subpulmonic process is a consideration"
1,a,"Although this may be artifact or a pulmonary density, a XXXX sclerotic focus within the thoracic XXXX cannot be excluded"
1,a,"An ovoid opacity in the left retrocardiac area, could be projectional or solid mass, further study XXXX is recommended"
1,a,Apical irregularities also present on the previous exam suggestive of scarring
1,a,Apical oligemia suggestive of some emphysema
1,a,"Apparent nodular opacity on lateral projection, immediately retrocardiac, is XXXX to represent confluence of overlapping silhouettes"
1,a,Appearance suggest atelectasis
1,a,Appearance suggests an old rib fracture
1,a,Appearance suggests atelectasis
1,a,Appearance suggests emphysema
1,a,Aspiration or edema are also possible but less XXXX
1,a,"Asymmetric left suprahilar opacity, consider focal airspace disease or adenopathy"
1,a,At XXXX 2 right lung pulmonary nodules concerning forlt;BRgt;metastatic disease
1,a,Atelectasis versus scar left lung base
1,a,Bandlike left base and lingular opacities XXXX scarring or atelectasis
1,a,Basilar probable pulmonary fibrosis and scarring
1,a,Basilar reticular opacities XXXX represent chronic scarring or atelectasis
1,a,Biapical fibronodular thickeningscarring
1,a,Bibasilar airspace disease may represent infection or mild edema
1,a,"Bibasilar airspace disease, greater on the right, either atelectasis or infiltrate"
1,a,"Bibasilar airspace disease, possibly atelectasis"
1,a,Bibasilar airspace opacities seen on lateral XXXX XXXX be atelectasis or possibly pneumonia
2,a,Bibasilar atelectasis versus scarring
1,a,"Bibasilar opacities, right greater than left, features suggest a combination of consolidation and atelectasis"
1,a,Bibasilar subsegmental atelectasis or scarring
1,a,Bihilar prominence may be secondary mild lymphoid enlargement
1,a,"Bilateral effusions andor atelectasis, right worse than left"
1,a,"Bilateral hilar fullness may indicate pulmonary hypertension and clinical correlation is recommended, differential diagnosis reactive lymphadenopathy, metastatic disease"
1,a,"Bilateral large pleural effusion, possibly from pleuritis or sympathetic from the known pancreatitis"
1,a,Bilateral opacities most prominent in the lower lobes XXXX representing airspace disease or edema
1,a,Bilateral pulmonary nodules suggesting pulmonary metastases 2
1,a,"Bilateral rib deformities are noted, possibly old fractures"
1,a,Blunting of the costophrenic XXXX suggestive of small pleural effusions
1,a,"Blunting of the costophrenic XXXX, and XXXX secondary to scarringemphysematous changes"
1,a,Blunting of the lateral and posterior left costophrenic sulcus may represent residual postsurgical effusion or pleural-parenchymal scarring
1,a,Blunting of the right costophrenic sulcus could be secondary to a XXXX effusion versus scarring
4,a,Bony overlap in the lung apices could obscure a small pulmonary nodule
4,a,Borderline cardiac enlargement
5,a,Borderline cardiomegaly
1,a,Borderline cardiomegaly and cardiac pacemaker
1,a,Borderline cardiomegaly and mild chronic changes
2,a,Borderline cardiomegaly without acute disease
2,a,Borderline cardiomegaly without heart failure
1,a,"Borderline cardiomegaly, XXXX at XXXX partially accentuated by low lung volumes"
1,a,"Borderline cardiomegaly, mild aortic ectasiatortuosity"
1,a,"Borderline cardiomegaly, otherwise unremarkable exam"
5,a,Borderline enlarged heart
1,a,Borderline enlarged heart size
1,a,Borderline enlarged heart without acute abnormality
1,a,"Borderline enlargement of cardiac silhouette, otherwise no acute cardiopulmonary abnormality"
1,a,Borderline enlargement of the cardiac silhouette without acute pulmonary disease
2,a,Borderline enlargement of the heart
10,a,Borderline heart size
1,a,"Borderline heart size and abnormal interstitial pulmonary pattern which may be compatible with chronic interstitial change, differential diagnosis is XXXX and includes asymmetric pulmonary edema, inflammation, atypical infection, infiltrative process"
1,a,Borderline heart size related to recent pregnancy
1,a,Borderline heart size with mild central vascular congestive changes
1,a,"Borderline heart size, improved mediastinal widening"
1,a,"Borderline heart size, no acute pulmonary findings"
1,a,"Borderline heart size, stable"
1,a,Bronchovascular crowding versus atelectasis within the right lung base otherwise no acute cardiopulmonary disease
1,a,"Bronchovascular crowding, indistinct central vascular margination"
1,a,COPD and probable right basilar scarring
1,a,Calcifications in the right hemiabdomen may represent calcified gallstones
1,a,"Calcified densities within the right paratracheal region and left perihilar region, may represent calcified granulomas"
1,a,Calcified left hilar lymph XXXXgranulomas
1,a,Calcified left paraesophageal versus intrapulmonary lymph node
1,a,Calcified right basilar nodule compatible with granuloma  histoplasmoma
1,a,Calcified right lung nodules suggest a previous granulomatous process
1,a,Cannot exclude a right lower lobe cavity
1,a,Cannot exclude early pulmonary edema
1,a,Cannot exclude elevation right hemidiaphragm
1,a,Cannot exclude small pleural effusions
1,a,Cardio mediastinal suggests possible right XXXX versus dextrocardia
1,a,"Cardiomegaly and central vascular congestion with perihilar opacities, possibly edema"
1,a,"Cardiomegaly and increased interstitial opacities which may be compatible with mild pulmonary edema, differential diagnosis includes infection, inflammation, aspiration"
1,a,Cardiomegaly and small left pleural effusion versus pleural thickening 2
1,a,Cardiomegaly andor pericardial effusion
1,a,"Cardiomegaly is noted, with central pulmonary vascular prominence and coarsened interstitial markings, suspicious for developing interstitial pulmonary edema"
1,a,Cardiomegaly which appears XXXX from XXXX with probable mild pulmonary edema
1,a,"Cardiomegaly with bibasilar opacities, which may represent atelectasis or infiltrate"
1,a,"Cardiomegaly with central pulmonary vascular prominence and coarsened interstitial markings, concerning for interstitial pulmonary edema"
1,a,Cardiomegaly with central vascular congestion and increased interstitial opacities suggesting mild interstitial pulmonary edema
1,a,Cardiomegaly with mild bibasilar infiltrates versus atelectasis
1,a,Cardiomegaly with possible pericardial effusion
1,a,Cardiomegaly with prominent aorta which may be accentuated due to AP view
1,a,Cardiomegaly with vascular congestion and suspected pulmonary edema
1,a,"Cardiomegaly, question small bilateral pleural effusions 2"
1,a,"Cardiomegaly, vascular congestion and probable mild interstitial edema"
1,a,Catheter tip may be within the proximal SVC or azygos vein
1,a,"Catheter tubing overlies the left upper quadrant, appearance of the lateral projection suggest prior gastric banding procedure"
1,a,Changes of chronic interstitial lung disease with ill-defined patchy left apical and right basilar airspace disease
1,a,Chronic appearing bibasilar pleural abnormality with possible small effusions
1,a,Chronic appearing contour deformity of the distal right clavicle suggests old injury
1,a,Chronic appearing contour deformity of the right posterolateral 7th rib again noted suggestive of old injury
1,a,"Chronic appearing contour irregularity of the distal left clavicle and XXXX XXXX widening may be posttraumatic or postsurgical, verterbroplasty noted at the thoracolumbar junction"
1,a,Chronic appearing left greater than right lung base scarring with possible small effusions
1,a,Chronic appearing left rib contour irregularities may be posttraumatic or postsurgical
1,a,"Chronic asymmetric elevation of the right hemidiaphragm with mildly increased right basilar airspace disease, atelectasis versus infiltrate"
1,a,"Chronic interstitial pattern, may reflect COPD"
1,a,Chronic parenchymal changes are noted with mild scarring andor subsegmental atelectasis in the right lung base
1,a,"Circumscribed structure in the AP XXXX could represent lymphadenopathy, mass, pulmonary arterial abnormality XXXX as aneurysm, or enlargement of the left atrial appendage"
1,a,"Compared to XXXX, there are XXXX extensive bilateral reticulonodular interstitial opacities, concerning for atypical infection"
1,a,Compressive atelectasis or infiltrate in the right base
1,a,Concern for left subphrenic free air
1,a,Concerning findings for fibrosis in the bases of the lungs
1,a,Configuration of breast shadows on the PA view suggests prior right lumpectomy
1,a,Considerations would include pericardial effusion or dilated cardiomyopathy
1,a,"Considering technical factors heart size XXXX mildly enlarged, aortic calcifications and ectasiatortuosity, mediastinal calcifications suggest a previous granulomatous process"
1,a,Conspicuous for size 3-4 mm nodular opacity projecting in right lung is probably a small calcified granuloma
1,a,Continued severe cardiomegaly andor pericardial effusion
1,a,Contour irregularity of the left clavicle appears chronic and suggests old injury
1,a,Core irregularity along the anterior margin of the sternum may represent an age-indeterminate nondisplaced fracture
1,a,Corticated bony density over the lateral aspect of the clavicle may reflect sequela of old remote XXXX
1,a,Could represent pancreatic parenchymal calcifications of chronic pancreatitis or old granulomatous sequela
1,a,Could represent subsegmental atelectasis or scarring
1,a,"Currently, there are only minimal streaky opacities in the bilateral midlung, which may represent mild residual airspace disease, atelectasis, or underlying changes of chronic lung disease"
1,a,Decrease ill-defined mixed lucent and opaque area in the right lateral lung base with small XXXX XXXX remaining and minimal associated right lateral costophrenic XXXX blunting
1,a,"Decreased lung volumes with associated bronchopulmonary crowding without evidence of focal consolidation, suspicious pulmonary opacity, large pleural effusion, or pneumothorax is identified"
1,a,Definite infiltrate is not excluded
1,a,Degenerative changes of the cervical spine with possible fusion in the lower cervical region
1,a,Degenerative changes of the thoracic spine possibly consistent with DISH
1,a,"Dense appearing, may be granulomatous"
1,a,Dense left lower lobe nodule suggests a previous granulomatous process
1,a,Dense left lower lung nodule suggests a previous granulomatous process
1,a,Dense nodule again noted in the right lower lobe suggesting a previous granulomatous process
1,a,Dense nodules in the left lung suggest a previous granulomatous process
1,a,Diagnostic considerations would include primary lung carcinoma with metastatic nodules versus secondary metastatic disease from known brain tumor
1,a,"Diaphragm flattening and relative apical lucencies suggestive of emphysema, XXXX and irregular interstitial markings, right greater than left"
1,a,"Distal clavicle shortening also present on the previous exam, possibly posttraumatic or postsurgical"
1,a,"Emphysema with increased lung markings markings, possibly superimposed chronic lung diseasefibrosis"
1,a,Enlarged cardiac silhouette with coarse perihilar and lower lobe interstitial opacities may be due to diffuse infection or heart failure
1,a,"Enlarged cardiac silhouette, possibly consistent with mild cardiomegaly versus a small pericardial effusion"
1,a,Enlargement of the central pulmonary arteries raising the question of pulmonary hypertension
1,a,Exact etiology of these is unclear
1,a,"Extensive bilateral shoulder degenerative changes with subluxationdislocation left shoulder, possibly chronic"
